Mon Jan 16 15:04:15 JST 2023,,,,,,,,,,,,,,,,,,,
SCE-5000_SEED(0),,,,,,,,,,,,,,,,,,,
VisitorId,sumWaitingTime,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],movingTime,travelTime,,,,,,,,,,,,
339,5699,0,1437,587,3675,3400,10279,,-5699,,,,,,,,,,
340,5364,268,1392,1713,1991,3400,9974,,-5364,,,,,,,,,,
341,10207,79,1310,1232,7586,2600,13987,,-10207,,,,,,,,,,
342,3966,78,175,834,2879,3000,8156,,-3966,,,,,,,,,,
343,11441,989,4145,3083,3224,3400,16041,,-11441,,,,,,,,,,
344,4934,0,350,3590,994,2600,8764,,-4934,,,,,,,,,,
345,2653,0,1170,840,643,2600,6403,,-2653,,,,,,,,,,
346,8008,984,1929,1758,3337,3800,13008,,-8008,,,,,,,,,,
347,13904,58,855,2967,10024,2600,17754,,-13904,,,,,,,,,,
348,18836,65,1630,8804,8337,3000,23056,,-18836,,,,,,,,,,
349,6507,88,1812,1219,3388,2600,10327,,-6507,,,,,,,,,,
350,3250,313,288,616,2033,2200,6660,,-3250,,,,,,,,,,
351,9668,73,96,2110,7389,2600,13438,,-9668,,,,,,,,,,
352,14266,707,792,1459,11308,4200,19656,,-14266,,,,,,,,,,
353,5349,0,1335,1133,2881,2600,9139,,-5349,,,,,,,,,,
354,10448,71,224,2375,7778,2600,14278,,-10448,,,,,,,,,,
355,5636,0,1209,1007,3420,2600,9396,,-5636,,,,,,,,,,
356,7271,340,2932,2288,1711,4600,13081,,-7271,,,,,,,,,,
357,14650,0,1585,5497,7568,3000,18870,,-14650,,,,,,,,,,
358,16860,101,1794,6652,8313,3000,21090,,-16860,,,,,,,,,,
359,2370,260,136,778,1196,2600,6190,,-2370,,,,,,,,,,
360,14586,81,1295,2718,10492,2600,18386,,-14586,,,,,,,,,,
361,4047,98,1316,616,2017,3400,8587,,-4047,,,,,,,,,,
362,7466,0,2644,778,4044,3800,12466,,-7466,,,,,,,,,,
363,15242,325,1615,5441,7861,2600,19052,,-15242,,,,,,,,,,
